IDEnquestat	IDCol·lector	DataInici	DataFinal	AdreçaElectrònica	Nom	Cognoms	DadesPersonalitzades	Respecte a l'accés a l'habitatge, creus que al teu barri?	Quin creus que és el principal problema en relacio a l'accés a l'habitatge? (Tria fins a dues opcions)								Creus que la situació respecte a l'ensenyament públic (incloses totes les etapes) al barri és?	Quin creus que és el principal problema en relació  a l'accés a l’escola pública? (Tria fins a dues opcions)						Creus que la situació de l’atenció sanitària pública al teu barri és?	Quin creus que és el principal problema en relació a l'accés a l’atenció sanitària? (Tria fins a dues opcions)							Creus que les tarifes actuals del transport públic són?	Com valoraries la qualitat de l'aire que es respira al teu barri?	El nivell de soroll (diürn i nocturn) en el teu barri és?	Creus que el nivell de turisme al teu barri és?	Quin creus que és el principal inconvenient en relació al nivell de turisme al teu barri? (Tria fins a dues opcions)								Quins tipus d'espai fan més falta al barri? (Tria fins a dues opcions)							Les possibilitats per què la ciutadania opini i influeixi en les polítiques municipals actualment són?	Creus que les instàncies de vida associativa (cooperatives, entitats culturals, etc) al teu barri són?	Estaries d'acord amb que el regidor del districte sigui escollit directament per la gent?	Quins altres problemes no esmentats en el qüestionari són importants al barri on vius? I per la ciutat?	Tens alguna proposta per al barri / districte que es pogués implementar en el futur?	Quants anys tens?	Identifiques el teu gènere com		Barri		Codi Postal	Quin és el nivell màxim d'educació que has obtingut?	Quina és la teva situació laboral?		Participes en alguna associació / organització?
3624347353	60358171	03/12/2014 14:36:30	03/12/2014 14:39:59					Hi ha greus problemes		Manca d'oferta de lloguer / compra		Dificultats accés als crèdits	Condicions dels habitatges	Desnonaments			Dolenta							Dolenta			Manca de serveis d'urgències	Durada dels temps d'espera				Massa elevades	Dolenta	Molt alt	Ni perjudicial ni beneficiós							Cap		Parcs / zones verdes			Zones per a esports	Zones de jocs per a nens			Molt insuficients	Adequades	Sí	educacio per joves	espais de trobada	36	Home		Verdun			Universitària	Treballador per compte aliè		Sí
3624342546	60358171	03/12/2014 14:35:08	03/12/2014 14:37:42					No hi ha problemes importants	Relació qualitat-preu del lloguer / compra		Manca d'oferta pública / cooperativa						Dolenta	Poques places	Lluny de casa					Adequada	Manca de centres d'atenció primària	Manca de places/serveis hospitalaris						Massa elevades	Molt dolenta	Alt	Ni perjudicial ni beneficiós		Nivell insuficient		Saturació dels espais públics					Parcs / zones verdes				Zones de jocs per a nens			Molt insuficients	Molt insuficients	Sí			25	Dona		Sants-Badal		8903	Universitària	Treballador per compte aliè		No
3624308729	60358171	03/12/2014 14:22:42	03/12/2014 14:42:22					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra					Desnonaments			Dolenta	Poques places				Desigualtat entre escoles		Dolenta				Durada dels temps d'espera		Problemes de qualitat		Massa elevades	Molt dolenta	Normal	Ni perjudicial ni beneficiós				Saturació dels espais públics		Augment de les escombraries, brutícia			Parcs / zones verdes		Centres Civics					Molt insuficients	Insuficients	Sí	Els desnonaments. S'hauria de consultar amb els veïns, i que aquests poguessin recurrir l'ordre judicial.	Utilitzar els espais del districte perquè els veïns puguin participar activament en les decisions que es prenen a l'ajuntament. Votant.	30	Home		La Bordeta		8014	Universitària	Treballador per compte aliè		No
3624250183	60358171	03/12/2014 14:00:16	03/12/2014 17:05:56					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra	Manca d'oferta de lloguer / compra	Manca d'oferta pública / cooperativa						Dolenta		Lluny de casa					Adequada			Manca de serveis d'urgències	Durada dels temps d'espera				Massa elevades	Molt dolenta	Alt	Ni perjudicial ni beneficiós							Cap		Parcs / zones verdes		Centres Civics					Molt insuficients	Molt insuficients	Sí			35	Home		El Baix Guinardó		8041	Secundària	Treballador per compte propi		Sí
3624097971	60358171	03/12/2014 12:47:19	03/12/2014 12:52:41					Hi ha alguns problemes				Dificultats accés als crèdits					Dolenta				Mala qualitat de l'ensenyament			Adequada			Manca de serveis d'urgències					Elevades	Molt dolenta	Molt alt	Ni perjudicial ni beneficiós				Saturació dels espais públics						Biblioteques	Centres Civics					Insuficients	Insuficients	Sí	Contaminación		43	Dona		Les Corts		8029	Universitària	Treballador per compte aliè		No
3624064460	60358171	03/12/2014 12:27:37	03/12/2014 12:35:02					Hi ha alguns problemes			Manca d'oferta pública / cooperativa	Dificultats accés als crèdits					Adequada	Poques places				Desigualtat entre escoles		Adequada			Manca de serveis d'urgències					Massa elevades	Adequada	Alt	Ni perjudicial ni beneficiós			Encariment dels preus (aliments, oci, habitatge, etc.)						Parcs / zones verdes			Zones per a esports				Insuficients	Insuficients	Sí	L'atenció a la gent gran. Places públiques de residències per a gent gran	Reduir el trànsit privat a les escoles (rodalies Plaça Borràs)	65	Dona		Sarrià		8017	Universitària	Jubilat / Pensionista		Sí
3623965285	60358171	03/12/2014 11:22:02	03/12/2014 11:31:12					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra		Manca d'oferta pública / cooperativa						Dolenta	Poques places				Desigualtat entre escoles		Dolenta	Manca de centres d'atenció primària		Manca de serveis d'urgències					Elevades	Molt dolenta	Molt alt	Perjudicial	Nivell excessiu		Encariment dels preus (aliments, oci, habitatge, etc.)	Saturació dels espais públics					Parcs / zones verdes	Biblioteques	Centres Civics					Insuficients	Insuficients	Sí	Els horaris continus dels serveis de recogida de residus	Posar un carril guiri	40	Dona		La Vila de Gràcia		8024	Universitària	Treballador per compte aliè		Sí
3623962495	60358171	03/12/2014 11:21:44	03/12/2014 11:33:17					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra		Manca d'oferta pública / cooperativa		Condicions dels habitatges		Excés de pisos buits							Desigualtat entre escoles		Dolenta			Manca de serveis d'urgències	Durada dels temps d'espera				Massa elevades	Molt dolenta	Alt	Ni perjudicial ni beneficiós								No n'hi ha molt				Zones per a esports				Insuficients		Sí			26	Home		Sant Gervasi		8006	Universitària	Altres (especifiqueu)	Treballador per compte Aliè i propi	Sí
3623910466	60358171	03/12/2014 10:44:33	03/12/2014 10:52:42					Hi ha greus problemes					Condicions dels habitatges	Desnonaments			Adequada			Estat dels edificis i instal·lacions		Desigualtat entre escoles		Adequada		Manca de places/serveis hospitalaris	Manca de serveis d'urgències					Massa elevades	Dolenta	Alt	Perjudicial	Nivell excessiu		Encariment dels preus (aliments, oci, habitatge, etc.)						Parcs / zones verdes				Zones de jocs per a nens			Molt insuficients	Insuficients	Sí	Esclavatge sexual		29	Home		El Raval		8001	Universitària	Treballador per compte aliè		Sí
3623909611	60358171	03/12/2014 10:43:22	03/12/2014 11:04:43					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra		Manca d'oferta pública / cooperativa						Dolenta	Poques places			Mala qualitat de l'ensenyament			Dolenta				Durada dels temps d'espera				Elevades	Dolenta	Normal	Ni perjudicial ni beneficiós							Cap		Parcs / zones verdes			Zones per a esports				Molt insuficients	Insuficients	Sí	Un gran nombre dels nous comerços són d'un mateix sector, la restauració	Limitar el número de llicències d'establiments de restauració per evitar concentració i manca d'altres tipus de comerç	33	Home		Sant Antoni		8011	Universitària	Treballador per compte propi		Sí
3623908390	60358171	03/12/2014 10:43:04	03/12/2014 11:04:53					Hi ha alguns problemes			Manca d'oferta pública / cooperativa			Desnonaments			Dolenta					Desigualtat entre escoles	Majoritaria l'oferta concertada religiosa.	Dolenta		Manca de places/serveis hospitalaris				Problemes de qualitat	Retallades en els serveis sanitaris.	Elevades	Dolenta	Alt	Perjudicial	Nivell excessiu		Encariment dels preus (aliments, oci, habitatge, etc.)	Saturació dels espais públics							Centres Civics				Oferta pública de llars per la gent gran.	Molt insuficients	Insuficients	Sí	Tot el relacionat amb la gent gran (residencies, atenció, dependència). Despersonalització del barri per la terciarització.	Rejovenir el barri en base un plan integral de remodelació habitatges (1x2) i solucions d'atenció a la gent gran.	61	Home		La Dreta de l'Eixample		8010	Universitària	Jubilat / Pensionista		Sí
3623901990	60358171	03/12/2014 10:38:19	03/12/2014 10:49:34					Hi ha alguns problemes									Molt bona							Molt dolenta	Manca de centres d'atenció primària	Manca de places/serveis hospitalaris		Durada dels temps d'espera				Massa elevades	Dolenta	Normal	Perjudicial			Encariment dels preus (aliments, oci, habitatge, etc.)	Saturació dels espais públics								Zones per a esports				Molt insuficients		No ho sé	S'estan fent molts hotels. S'està adaptant el barri al turisme. No és que tinguem greus problemes, peró poc a poc anem perdent el barri.	El que no pot ser és que pensem en el turista sense pensar en el barri. És clar que hem d'adaptar-nos tots, el turisme són oportunitats. Però s'ha de fer bé. S'ha de respectar el barri, els veïns, les zones públiques. En definitiva, convivència. Falta convivència.	24	Home		La Sagrada Família		8025	Universitària	Altres (especifiqueu)	Estudiant, treballant.	No
3623899289	60358171	03/12/2014 10:36:36	03/12/2014 10:46:20					Hi ha alguns problemes					Condicions dels habitatges				Dolenta					Desigualtat entre escoles		Adequada				Durada dels temps d'espera				Massa elevades	Molt dolenta	Normal	Perjudicial				Saturació dels espais públics							Centres Civics					Molt insuficients	Insuficients	Sí	Pudor, brutícia, delinqüència i joves feixistes i racistes que creen un ambient de violència i repugnància. Qualsevol pintada és esborrada inmediatament excepte les de simbologia nazi. El Nou Mercat de Sant Antoni és un projecte d'especulació que només crea incomoditats als veïns en tant que crea contaminació acústica i visual, i la perllongació excessiva del seu estat en construcció ha deixat a una generació de joves sense l'element principal del seu barri, el mercat (no volem les barraques cutres de la ronda, la seva condició provisional s'ha allargat massa, i no només és lleig sinó que ens priva de tot l'espai que ocupa enmig de la ronda de St. Antoni).		19	Home		Sant Antoni		8008	Universitària	Estudiant		Sí
3623896910	60358171	03/12/2014 10:34:50	03/12/2014 12:05:34					Hi ha alguns problemes			Manca d'oferta pública / cooperativa						Adequada		Lluny de casa	Estat dels edificis i instal·lacions		Desigualtat entre escoles		Molt bona								Massa elevades	Dolenta	Molt alt	Ni perjudicial ni beneficiós							Cap		Parcs / zones verdes			Zones per a esports			gimnàs	Insuficients	Insuficients	Sí			41	Dona		----SARRIÀ-SANT GERVASI			Universitària	Aturat		No
3623891130	60358171	03/12/2014 10:30:37	03/12/2014 10:37:43					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra		Manca d'oferta pública / cooperativa		Condicions dels habitatges	Desnonaments			Dolenta					Desigualtat entre escoles		Dolenta		Manca de places/serveis hospitalaris				Problemes de qualitat		Elevades	Dolenta	Alt	Perjudicial			Encariment dels preus (aliments, oci, habitatge, etc.)												Espais culturals de qualitat	Insuficients	Adequades	Sí	La falta d'aposta pel transport public (tramvia a la diagonal, llarga posada en marxa de la nova xarxa de bus, rodalies insuficient etc.). En menyspreu a la bici durant les obres (Paral·lel, Sant Joan, etc).	Un espaci artístic de qualitat que agrupi diferents entitats	38	Home		El Poble Sec	Sagrada Familia	8004	Universitària	Treballador per compte propi		Sí
3623887914	60358171	03/12/2014 10:28:21	03/12/2014 10:35:24					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra	Manca d'oferta de lloguer / compra	Manca d'oferta pública / cooperativa						Adequada	Poques places						Adequada						Problemes de qualitat		Elevades	Dolenta	Normal	Ni perjudicial ni beneficiós			Encariment dels preus (aliments, oci, habitatge, etc.)						Parcs / zones verdes							Molt insuficients	Adequades	No ho sé	encariments de preus de productes bàsics (supers, botigues, bars...)	impolsar una vida associativa-veïnal més positiva, al voltant de projectes creatius-artístics.	34	Dona		Sant Gervasi	zona Pàdua	8006	Universitària	Treballador per compte propi		No
3623886528	60358171	03/12/2014 10:27:20	03/12/2014 10:34:12					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra								Adequada				Mala qualitat de l'ensenyament			Adequada				Durada dels temps d'espera	Problemes d'atenció / tracte	Problemes de qualitat		Massa elevades	Dolenta	Alt	Ni perjudicial ni beneficiós			Encariment dels preus (aliments, oci, habitatge, etc.)		Sorolls				Parcs / zones verdes				Zones de jocs per a nens	Places		Molt insuficients	Adequades	Sí	obres als mercats interminables, sorolloses i que omplen tot de pols desde fa anys		27	Dona		L'Antiga Esquerra de l'Eixample		8036	Universitària	Treballador per compte aliè		No
3623876853	60358171	03/12/2014 10:20:11	03/12/2014 10:23:48					Hi ha alguns problemes		Manca d'oferta de lloguer / compra			Condicions dels habitatges				Adequada				Mala qualitat de l'ensenyament	Desigualtat entre escoles		Adequada				Durada dels temps d'espera		Problemes de qualitat		Massa elevades	Adequada	Alt	Ni perjudicial ni beneficiós			Encariment dels preus (aliments, oci, habitatge, etc.)		Sorolls				Parcs / zones verdes				Zones de jocs per a nens			Molt insuficients	Adequades	Sí			24	Dona		Sants		8014	Universitària	Estudiant		Sí
3623868624	60358171	03/12/2014 10:14:21	03/12/2014 10:18:04					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra	Manca d'oferta de lloguer / compra							Adequada	Poques places						Adequada			Manca de serveis d'urgències	Durada dels temps d'espera				Massa elevades	Molt dolenta	Baix	Ni perjudicial ni beneficiós									Parcs / zones verdes					Places		Molt insuficients	Adequades	Sí			24	Dona		----SANTS-MONTJUIC		8014	Universitària	Treballador per compte aliè		No
3623865988	60358171	03/12/2014 09:52:56	03/12/2014 10:16:59					Hi ha alguns problemes			Manca d'oferta pública / cooperativa	Dificultats accés als crèdits					Bona					Desigualtat entre escoles		Molt bona				Durada dels temps d'espera				Elevades	Bona	Molt baix	Ni perjudicial ni beneficiós							Cap									Insuficients	Adequades	Sí			26	Home		La Teixonera		8035	Universitària	Treballador per compte aliè		No
3623864383	60358171	03/12/2014 10:11:09	03/12/2014 10:15:16					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra	Manca d'oferta de lloguer / compra			Condicions dels habitatges				Adequada	Poques places						Adequada	Manca de centres d'atenció primària	Manca de places/serveis hospitalaris	Manca de serveis d'urgències					Massa elevades	Dolenta	Normal	Ni perjudicial ni beneficiós			Encariment dels preus (aliments, oci, habitatge, etc.)								Centres Civics		Zones de jocs per a nens			Molt insuficients	Adequades	Sí			33	Home		Sants		8028	Universitària	Treballador per compte aliè		Sí
3623862108	60358171	03/12/2014 10:09:42	03/12/2014 10:23:10					Hi ha alguns problemes				Dificultats accés als crèdits					Dolenta						No sé, no tinc fills	Dolenta		Manca de places/serveis hospitalaris	Manca de serveis d'urgències	Durada dels temps d'espera				Massa elevades	Dolenta	Alt									Saturació del transport públic	Parcs / zones verdes		Centres Civics	Zones per a esports				Molt insuficients	Molt insuficients	Sí	Manca de manteniment al barri: paviment trencat, zones brutes,... Manca de serveis comunitaris pels veïns i espais verds. No hi ha gens d´inversió perquè la gent pugui gaudir de l´espai públic. S´està degradant molt l´aspecte dels barris, no es cuiden els espais, ni el petit comerç i els barris no cèntrics s´estàn convertint en dormitoris degradats. D´altra banda, per a la ciutat, l´excés de turisme i la inversió que fa la ciutat en aquest sentit, deixant de banda les veritables necessitats de la gent. El centre de Barcelona ja sembla Lloret a l´agost i els bàrris del voltant, sembla que no pertanyin a aquesta ciutat tan cool dels catàlegs.	Per mí, el tema prioritari és que s´ha de tancar el Casal Tramuntana. És un perill per la bona convivència als barri.	38	Dona		La Verneda i la Pau	La Verneda al C/Cantàbria	8020	Universitària	Treballador per compte aliè		No
3623853608	60358171	03/12/2014 10:03:18	03/12/2014 10:11:06					Hi ha greus problemes			Manca d'oferta pública / cooperativa	Dificultats accés als crèdits					Dolenta			Estat dels edificis i instal·lacions				Dolenta				Durada dels temps d'espera				Massa elevades	Dolenta	Alt	Ni perjudicial ni beneficiós																Molt insuficients	Insuficients	Sí	Neteja de poca qualitat, publicitat de tota mena tolerada, comunicació i participació a la resolució dels problemes.	Que serveixi d'alguna cosa l'opinió dels veins. Participació real.	50	Home		Sants		8028	Secundària	Altres (especifiqueu)	Funcionari	Sí
3623848776	60358171	03/12/2014 09:59:37	03/12/2014 10:05:53					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra		Manca d'oferta pública / cooperativa						Dolenta				Mala qualitat de l'ensenyament	Desigualtat entre escoles		Dolenta		Manca de places/serveis hospitalaris			Problemes d'atenció / tracte			Massa elevades	Dolenta	Normal	Ni perjudicial ni beneficiós							Cap				Centres Civics			Places		Molt insuficients	Insuficients	Sí			57	Home		Sant Antoni		80001	Universitària	Aturat		Sí
3623845017	60358171	03/12/2014 09:56:40	03/12/2014 10:01:55					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra		Manca d'oferta pública / cooperativa						Adequada		Lluny de casa	Estat dels edificis i instal·lacions				Dolenta			Manca de serveis d'urgències	Durada dels temps d'espera				Massa elevades	Dolenta	Alt	Ni perjudicial ni beneficiós			Encariment dels preus (aliments, oci, habitatge, etc.)						Parcs / zones verdes			Zones per a esports				Insuficients	Insuficients	Sí	Hi ha poc espai per a la participació ciutadana amb efectes	Crear espais de diàleg reals	33	Dona		Sants-Badal		8028	Universitària	Aturat		No
3623843617	60358171	03/12/2014 09:55:35	03/12/2014 10:02:05					Hi ha greus problemes		Manca d'oferta de lloguer / compra						demasiados pisos turísticos que echan a los vecinos del barrio	Dolenta					Desigualtat entre escoles		Dolenta	Manca de centres d'atenció primària							Massa elevades	Dolenta	Molt alt	Perjudicial	Nivell excessiu								Parcs / zones verdes			Zones per a esports				Molt insuficients	Adequades	Sí	Al meu barri l'espai public s'esta privatitzant, i es lo mateix a tot barcelona	limitar el turisme de masses, limitar els horaris de carregua i descarregua dels camions al mercat (es massa perillos per la gent gran i els nens petits), espais per poder aparcar les bicis de forma segura, limitar els horaris de les terraçes, fixar un limit als preus dels lloguers i un % maxim de pisos turistics	36	Dona		Sant Pere, Santa Caterina i la Ribera		8003	Universitària	Treballador per compte propi		Sí
3623835192	60358171	03/12/2014 09:48:42	03/12/2014 10:11:00					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra						Excés de pisos buits		Dolenta				Mala qualitat de l'ensenyament		La massificació de les aules. Fan falta més escoles i més professors per l'alumnat	Dolenta	Manca de centres d'atenció primària			Durada dels temps d'espera	Problemes d'atenció / tracte			Massa elevades	Dolenta	Normal	Perjudicial			Encariment dels preus (aliments, oci, habitatge, etc.)	Saturació dels espais públics					Parcs / zones verdes	Biblioteques						Molt insuficients	Insuficients	Sí	La neteja dels barris de Barcelona. La decadencia de les universitats públiques (becas per a estudiants, taxes, becas d'investigació...), el menyspreu a les carreras socials és inadmissible.		24	Dona		Porta		8016	Secundària	Altres (especifiqueu)	Treballadora i estudiant	Sí
3623830909	60358171	03/12/2014 09:45:27	03/12/2014 09:48:54					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra			Dificultats accés als crèdits					Molt dolenta	Poques places					A Sant Andreu falten escoles i instituts.	Adequada				Durada dels temps d'espera				Massa elevades	Dolenta	Normal	Beneficiós							Cap		Parcs / zones verdes							Insuficients	Adequades	Sí	Important en problema que patim de places escolars públiques.		40	Dona		Sant Andreu		8030	Universitària	Aturat		Sí
3623827881	60358171	03/12/2014 09:43:09	03/12/2014 09:47:37					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra		Manca d'oferta pública / cooperativa						Molt bona	Poques places						Adequada				Durada dels temps d'espera				Elevades	Dolenta	Normal	Ni perjudicial ni beneficiós							Cap					Zones per a esports				Molt insuficients	Adequades	Sí			21	Dona		El Putxet i el Farró		8006	Universitària	Estudiant		No
3623824541	60358171	03/12/2014 09:40:20	03/12/2014 10:08:11					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra		Manca d'oferta pública / cooperativa						Adequada	Poques places				Desigualtat entre escoles		Adequada		Manca de places/serveis hospitalaris	Manca de serveis d'urgències					Elevades	Adequada	Normal	Perjudicial			Encariment dels preus (aliments, oci, habitatge, etc.)	Saturació dels espais públics	Sorolls						Centres Civics		Zones de jocs per a nens			Insuficients	Insuficients	Sí	Excés de comerç de poca qualitat que no respecten horaris, aparició de hostels i pisos turístics il.legals	Convertir l'antiga comissaria en centre cívic	33	Dona		La Vila de Gràcia		8005	Universitària	Treballador per compte aliè		No
3623821742	60358171	03/12/2014 09:29:32	03/12/2014 09:42:33					Hi ha greus problemes			Manca d'oferta pública / cooperativa	Dificultats accés als crèdits					Dolenta	Poques places		Estat dels edificis i instal·lacions				Dolenta		Manca de places/serveis hospitalaris	Manca de serveis d'urgències					Massa elevades	Dolenta	Normal	Ni perjudicial ni beneficiós		Nivell insuficient					Cap				Centres Civics	Zones per a esports				Insuficients	Insuficients	Sí	el paro		46	Home		La Prosperitat		8016	Secundària	Treballador per compte aliè		Sí
3623816416	60358171	03/12/2014 09:33:46	03/12/2014 09:41:15					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra		Manca d'oferta pública / cooperativa						Adequada				Mala qualitat de l'ensenyament			Dolenta				Durada dels temps d'espera				Massa elevades	Molt dolenta	Alt	Perjudicial	Nivell excessiu		Encariment dels preus (aliments, oci, habitatge, etc.)						Parcs / zones verdes			Zones per a esports				Molt insuficients	Insuficients	Sí	Manca de carrils bici i excés de vehicles motoritzats. Falten zones verdes i peatonals.		21	Home		La Vila de Gràcia		8037	Universitària	Estudiant		No
3623813560	60358171	03/12/2014 09:31:47	03/12/2014 09:38:23					Hi ha greus problemes			Manca d'oferta pública / cooperativa				Excés de pisos buits		Dolenta	Poques places			Mala qualitat de l'ensenyament			Dolenta	Manca de centres d'atenció primària	Manca de places/serveis hospitalaris						Massa elevades	Molt dolenta	Alt	Ni perjudicial ni beneficiós			Encariment dels preus (aliments, oci, habitatge, etc.)	Saturació dels espais públics					Parcs / zones verdes			Zones per a esports				Molt insuficients	Insuficients	No	Represión cultural e ideológica.	Cooperativa cultural.	38	Home		El Raval		8001	Secundària	Aturat		Sí
3623810003	60358171	03/12/2014 09:28:42	03/12/2014 09:40:00					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra						Excés de pisos buits									Molt bona								Adequades	Adequada	Baix	Ni perjudicial ni beneficiós							Cap									Insuficients	Adequades	Sí			41	Home		Sarrià		8034	Universitària	Treballador per compte aliè		Sí
3623809359	60358171	03/12/2014 09:28:26	03/12/2014 09:32:48					Hi ha alguns problemes			Manca d'oferta pública / cooperativa			Desnonaments			Bona	Poques places				Desigualtat entre escoles		Dolenta			Manca de serveis d'urgències	Durada dels temps d'espera				Massa elevades	Dolenta	Alt	Beneficiós				Saturació dels espais públics	Sorolls							Zones per a esports				Insuficients	Adequades	Sí	seguretat ciutadana	Equilibri oferta comercial	31	Dona		El Clot		8026	Universitària	Treballador per compte aliè		Sí
3623807601	60358171	03/12/2014 09:26:56	03/12/2014 09:30:01					Hi ha greus problemes			Manca d'oferta pública / cooperativa				Excés de pisos buits		Molt dolenta			Estat dels edificis i instal·lacions	Mala qualitat de l'ensenyament			Dolenta				Durada dels temps d'espera				Massa elevades	Dolenta	Alt	Ni perjudicial ni beneficiós				Saturació dels espais públics	Sorolls						Centres Civics	Zones per a esports				Insuficients	Adequades	Sí			40	Home		El Congrés i els Indians		8027	Universitària	Treballador per compte aliè		No
3622460771	60358171	02/12/2014 19:35:46	02/12/2014 20:12:47					Hi ha alguns problemes			Manca d'oferta pública / cooperativa						Adequada						Desconec el tema	Adequada							Desconec el tema	Massa elevades	Adequada	Normal	Ni perjudicial ni beneficiós								Possible encariment dels lloguers i dels preus en general, encara no constatat							Locals de música en directe	Molt insuficients	Adequades	Sí	Bastant content amb el barri. Ciutat: gestió de la massificació turística, certes actuacions policials	Eliminar les càmeres de videovigilància als espais públics	32	Home		El Poble Sec		8004	Secundària	Treballador per compte aliè		Sí
3621989158	60358171	02/12/2014 16:54:45	02/12/2014 17:04:01					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra			Dificultats accés als crèdits					Dolenta		Lluny de casa			Desigualtat entre escoles		Bona		Manca de places/serveis hospitalaris						Massa elevades	Dolenta	Molt alt	Perjudicial			Encariment dels preus (aliments, oci, habitatge, etc.)		Sorolls								Zones de jocs per a nens	Places		Insuficients	Adequades	Sí	la brutícia dels carrers	autogestionar entre els veins l'energia dels espais públics: centres cívics, ambulatori,  enllumenament públic... amb energia solar	46	Dona		El Poble Sec		8004	Universitària	Treballador per compte aliè		Sí
3621272276	60358171	02/12/2014 12:17:51	02/12/2014 12:20:59					Hi ha alguns problemes			Manca d'oferta pública / cooperativa				Excés de pisos buits		Dolenta				Mala qualitat de l'ensenyament			Dolenta			Manca de serveis d'urgències	Durada dels temps d'espera	Problemes d'atenció / tracte			Massa elevades	Dolenta	Alt	Perjudicial				Saturació dels espais públics	Sorolls				Parcs / zones verdes						horts urbans	Molt insuficients	Molt insuficients	No ho sé			42	Home		La Sagrada Família		8013	Secundària	Aturat		No
3620902015	60358171	02/12/2014 07:24:42	02/12/2014 07:31:25					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra	Manca d'oferta de lloguer / compra		Dificultats accés als crèdits					Molt dolenta	Poques places						Adequada				Durada dels temps d'espera				Massa elevades	Adequada	Alt	Perjudicial			Encariment dels preus (aliments, oci, habitatge, etc.)	Saturació dels espais públics								Zones per a esports	Zones de jocs per a nens			Molt insuficients	Insuficients	Sí	Frogs al Carrer	Control robatoris	30	Dona		El Barri Gòtic		8002	Universitària	Treballador per compte aliè		Sí
3620235236	60358171	01/12/2014 22:49:56	01/12/2014 22:55:50					Hi ha alguns problemes				Dificultats accés als crèdits				manca de pisos de lloguer social	Bona	Poques places					gran concentracio escola concertada religiosa i privada	Bona			Manca de serveis d'urgències					Elevades	Adequada	Normal	Ni perjudicial ni beneficiós							Cap			Biblioteques					espais per a joves	Molt insuficients	Insuficients	Sí		potenciar la vivenda social en habitatges de nova construcció	65	Dona		Sarrià		8017	Universitària	Jubilat / Pensionista		Sí
3620220442	60358171	01/12/2014 17:30:58	01/12/2014 22:45:46					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra				Condicions dels habitatges				Adequada				Mala qualitat de l'ensenyament			Adequada				Durada dels temps d'espera				Elevades	Dolenta	Molt alt	Perjudicial			Encariment dels preus (aliments, oci, habitatge, etc.)		Sorolls					Biblioteques			Zones de jocs per a nens			Insuficients	Insuficients	Sí			36	Home		Sant Pere, Santa Caterina i la Ribera		8003	Universitària	Treballador per compte propi		No
3620219501	60358171	01/12/2014 22:42:19	01/12/2014 22:45:58					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra		Manca d'oferta pública / cooperativa						Dolenta	Poques places	Lluny de casa					Adequada	Manca de centres d'atenció primària		Manca de serveis d'urgències					Massa elevades	Adequada	Baix	Ni perjudicial ni beneficiós							Cap			Biblioteques	Centres Civics					Insuficients	Adequades	Sí			42	Home		Sarrià		8017	Universitària	Treballador per compte propi		No
3620113409	60358171	01/12/2014 21:54:51	01/12/2014 22:49:49					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra								Molt bona	Poques places						Bona			Manca de serveis d'urgències					Massa elevades	Bona	Baix	Beneficiós							Cap								cineme, teatre	Insuficients	Adequades	Sí	poca conexió social amb altres barris		35	Home		Sarrià		8017	Universitària	Treballador per compte aliè		Sí
3619966844	60358171	01/12/2014 21:01:16	01/12/2014 21:14:25					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra								Adequada					Desigualtat entre escoles		Bona				Durada dels temps d'espera				Massa elevades	Adequada	Baix	Ni perjudicial ni beneficiós							Cap								Casals d'infants i de joves, escola de música per joves.	Insuficients	Insuficients	No ho sé	Preu de la formació i les activitats de lleure és altíssim, no podem pagar activitats artístiques, esportives i culturals: esports, música, dansa,...		35	Dona		Sant Martí de Provençals		8020	Universitària	Treballador per compte aliè		Sí
